transcript_id,DMSO.1,DMSO.2,DMSO.3,JG1.1,JG1.2,JG1.3,M4.1,M4.2,M4.3
STM14_RS02935,1325,503,643,1184,718,810,851,968,1189
STM14_RS02940,4306,3701,3798,2603,2809,3203,4030,3659,3784
STM14_RS02945,138337,92648,50378,95918,127103,53523,182408,266140,142789
STM14_RS02950,6573,1411,1879,1306,1361,1460,4585,1931,5279
STM14_RS02955,1456,1310,1200,842,1102,1096,1887,1135,2342
STM14_RS02960,386,127,118,63,83,103,975,603,228
STM14_RS02965,606,268,173,117,154,175,747,480,310
STM14_RS02970,6148,4363,3755,2568,3873,3661,4106,2720,4412
STM14_RS02975,3008,1670,1522,1211,870,1031,2441,1199,4319
STM14_RS02980,2794,1929,1250,1294,1085,1039,2854,2620,4550
STM14_RS02985,5084,3692,2119,2836,3095,2086,7101,8647,10034
STM14_RS02990,33277,28619,28803,72565,68731,94689,41886,73015,61688
STM14_RS02995,24979,18151,21411,23943,20984,37030,24121,24432,29990
STM14_RS03000,7930,5162,5390,4256,4149,5968,5949,3070,5647
STM14_RS03005,6845,5234,4644,4220,3604,5074,6349,4259,13945
STM14_RS03010,2891,1891,1777,1473,1595,1905,2181,1529,2084
STM14_RS03015,483,316,343,201,195,365,346,153,345
STM14_RS03020,909,360,842,571,731,833,748,676,734
STM14_RS03025,2075,1059,1651,1363,1208,1661,1310,819,1262
STM14_RS03030,1762,1581,1519,997,886,1498,1869,952,2065
STM14_RS03035,5153,3069,4285,2888,3320,3806,4778,4415,10791
STM14_RS03040,848,452,395,263,395,450,677,669,1034
STM14_RS03045,815,538,764,682,864,885,873,1174,3128
STM14_RS03050,2170,4794,5007,2983,5424,5613,5119,9993,3958
STM14_RS03055,4624,6162,3383,1638,2402,2682,6731,4489,7669
STM14_RS03060,1442,940,1102,881,1285,1098,2771,1645,4216
STM14_RS03065,534,302,384,232,228,384,833,251,719
STM14_RS03070,1552,1166,1051,562,681,1205,1983,1208,3946
STM14_RS03075,4405,3094,3856,2499,4753,5763,3779,3317,5561
STM14_RS03080,1553,1167,937,763,806,1033,1097,932,2398
STM14_RS03085,2910,4300,6079,1762,2008,4756,3023,3336,4112
STM14_RS03090,802,825,1047,433,577,980,872,810,1135
STM14_RS03095,2224,1768,1725,1297,1546,1628,1695,1282,1800
STM14_RS03100,231,118,129,121,113,112,298,77,143
STM14_RS03105,16102,17684,15104,47555,51850,20410,13099,18078,7518
STM14_RS03110,2538,2563,2917,2056,3229,3152,2045,2387,1621
STM14_RS03115,2096,1583,2552,2133,2714,2378,1453,1662,1784
STM14_RS03120,5679,4280,5168,4999,6522,5185,3897,4439,3227
STM14_RS03125,253,224,179,152,191,157,309,267,264
STM14_RS03130,793,503,593,452,471,457,832,494,874
STM14_RS03135,3097,3196,2873,2228,2945,2900,3600,4472,3650
STM14_RS03140,2811,3312,2701,2166,1914,2617,3103,2352,3918
STM14_RS03145,6034,4833,5560,7111,9223,6697,5848,5623,5733
STM14_RS03150,3137,2212,2449,3169,3894,3296,3053,2848,2789
STM14_RS03155,9648,5690,7302,8211,9770,8532,9950,10331,9662
STM14_RS03160,1127,806,675,436,456,835,1201,479,1091
STM14_RS03165,8141,8019,7593,8908,2455,5380,3756,4528,4721
STM14_RS03170,3267,4243,3736,3402,1084,2220,2015,3005,3022
STM14_RS03175,1127,1571,1158,899,425,753,840,1185,1215
STM14_RS03180,2171,1503,1799,1456,1237,1657,1917,1794,2422
STM14_RS03185,592,513,635,416,512,706,500,339,458
STM14_RS03190,397,301,265,229,515,403,476,309,241
STM14_RS03195,3575,3912,3542,3842,4875,3828,3370,4080,2572
